Player,Span,Mat,Start,Sub,Pts,Tries,Conv,Pens,Drop,GfM,Won,Lost,Draw,%
AD Trimble (Ire),2005-2017,70,57,13,85,17,0,0,0,0,38,30,2,55.71
M Urjukashvili (Georg),1997-2011,70,66,4,320,17,47,46,1,0,40,30,0,57.14
AKE Baxter (Aust),2003-2009,69,45,24,5,1,0,0,0,0,40,28,1,58.69
R Bertranne (Fra),1971-1981,69,69,0,66,17,0,0,0,0,38,25,6,59.42
DS Coles (NZ),2012-2019,69,49,20,55,11,0,0,0,0,59,8,2,86.95
M Cuttitta (Italy),1990-2000,69,66,3,29,6,0,0,0,0,32,36,1,47.1
P de Villiers (Fra),1999-2007,69,53,16,10,2,0,0,0,0,45,22,2,66.66
C Dinu (Rom),1965-1983,69,69,0,0,0,0,0,0,0,46,19,4,69.56
GT Ford (Eng),2014-2020,69,52,17,308,10,54,48,2,0,52,16,1,76.08
E Gori (Italy),2010-2019,69,49,20,35,7,0,0,0,0,19,50,0,27.53
SP Horgan (Ire/Lions),2000-2009,69,62,7,105,21,0,0,0,0,40,27,2,59.42
I Klyuchnikov (Russ),2003-2015,69,63,6,96,6,12,14,0,0,32,36,1,47.1
BC Moore (Eng/Lions),1987-1995,69,68,1,4,1,0,0,0,0,48,20,1,70.28
F Murariu (Rom),1976-1989,69,68,1,32,8,0,0,0,0,45,22,2,66.66
PG Saint-Andre (Fra),1990-1997,69,68,1,152,32,0,0,0,0,46,22,1,67.39
SJ Cane (NZ),2012-2019,68,48,20,65,13,0,0,0,0,59,7,2,88.23
G Dumitru (Rom),1973-1987,68,67,1,12,3,0,0,0,0,42,24,2,63.23
A Fatakhov (Russ),2005-2015,68,44,24,5,1,0,0,0,0,28,38,2,42.64
AG Hastings (Lions/Scot),1986-1995,68,68,0,736,18,87,161,0,0,35,31,2,52.94
T Kikutani (JPN),2005-2014,68,57,11,160,32,0,0,0,0,41,26,1,61.02
MG Leitch (JPN),2008-2019,68,62,6,95,19,0,0,0,0,46,20,2,69.11
PJ O'Mahony (Ire/Lions),2012-2020,68,59,9,10,2,0,0,0,0,43,23,2,64.7
JT Rokocoko (NZ),2003-2010,68,66,2,230,46,0,0,0,0,55,13,0,80.88
CM Arboleya Sarazola (Urug),2004-2018,67,39,28,25,5,0,0,0,0,29,37,1,44.02
G Begadze (Georg),2011-2020,67,33,34,5,1,0,0,0,0,44,21,2,67.16
V Clerc (Fra),2002-2013,67,57,10,170,34,0,0,0,0,42,22,3,64.92
C Dominici (Fra),1998-2007,67,59,8,125,25,0,0,0,0,44,23,0,65.67
SH Easterby (Ire/Lions),2000-2008,67,59,8,45,9,0,0,0,0,43,23,1,64.92
P Feijoo Ugalde (Spain),2002-2015,67,50,17,100,20,0,0,0,0,28,37,2,43.28
Q Geldenhuys (Italy),2009-2016,67,57,10,0,0,0,0,0,0,17,50,0,25.37
S Hastings (Lions/Scot),1986-1997,67,65,2,43,10,0,0,0,0,36,29,2,55.22
DJ Herbert (Aust),1994-2002,67,66,1,55,11,0,0,0,0,50,16,1,75.37
MJ Horan (Ire),2000-2011,67,48,19,30,6,0,0,0,0,44,23,0,65.67
CR Jack (NZ),2001-2007,67,59,8,25,5,0,0,0,0,57,10,0,85.07
PN Kearns (Aust),1989-1999,67,65,2,34,8,0,0,0,0,50,17,0,74.62
G Labadze (Georg),1996-2012,67,64,3,60,12,0,0,0,0,39,25,3,60.44
BP Lima (PI/Samoa),1991-2007,67,63,4,140,29,0,0,0,0,32,33,2,49.25
DJ Lydiate (Lions/Wales),2009-2018,67,61,6,5,1,0,0,0,0,37,28,2,56.71
MS MacDonald (USA),2000-2012,67,56,11,30,6,0,0,0,0,21,46,0,31.34
DA Parks (Scot),2004-2012,67,47,20,266,4,15,55,17,0,25,41,1,38.05
RT Sanchez (Urug),1996-2009,67,58,9,25,5,0,0,0,0,26,41,0,38.8
TJ Smith (Lions/Scot),1997-2005,67,67,0,30,6,0,0,0,0,29,37,1,44.02
FPL Steyn (SA),2006-2019,67,38,29,141,11,7,21,3,0,51,14,2,77.61
JJ Thomas (Wales),2003-2011,67,40,27,35,7,0,0,0,0,30,34,3,47.01
LD Tuqiri (Aust),2003-2008,67,59,8,150,30,0,0,0,0,40,26,1,60.44
MI Ayerza (Arg),2004-2015,66,43,23,5,1,0,0,0,0,29,36,1,44.69
IJA Dagg (NZ),2010-2017,66,63,3,138,26,1,2,0,0,60,4,2,92.42
BS Davies (Wales),2009-2019,66,44,22,0,0,0,0,0,0,31,33,2,48.48
RJ Gray (Lions/Scot),2010-2018,66,56,10,15,3,0,0,0,0,32,34,0,48.48
S Horie (JPN),2009-2019,66,59,7,50,10,0,0,0,0,43,21,2,66.66
P James (Wales),2003-2016,66,35,31,0,0,0,0,0,0,30,35,1,46.21
PN Matera (Arg),2013-2019,66,61,5,30,6,0,0,0,0,18,48,0,27.27
EA Murray (Scot),2005-2015,66,58,8,10,2,0,0,0,0,25,40,1,38.63
H Porta (Arg/SthAm),1971-1990,66,66,0,656,12,91,115,28,0,26,35,5,43.18
F Puertas Soto (Spain),1984-1999,66,64,2,97,9,7,13,1,0,18,46,2,28.78
CDC Robshaw (Eng),2009-2018,66,66,0,10,2,0,0,0,0,44,22,0,66.66
M Sanguinetti (Urug),2014-2019,66,53,13,15,3,0,0,0,0,35,31,0,53.03
M Sharikadze (Georg),2012-2019,66,64,2,62,12,1,0,0,0,42,22,2,65.15
GM Somerville (NZ),2000-2008,66,48,18,5,1,0,0,0,0,55,11,0,83.33
WU Stanley (Can),1994-2003,66,64,2,123,24,0,0,1,0,27,38,1,41.66
M Steyn (SA),2009-2016,66,53,13,736,8,102,154,10,0,41,23,2,63.63
JA Strauss (SA),2008-2016,66,35,31,30,6,0,0,0,0,37,27,2,57.57
SM Taylor (Scot),2000-2009,66,65,1,30,6,0,0,0,0,29,37,0,43.93
F Trinh-Duc (Fra),2008-2018,66,41,25,93,9,6,5,7,0,34,30,2,53.03
VN Ursache (Rom),2004-2018,66,48,18,20,4,0,0,0,0,37,26,3,58.33
AG Venter (SA),1996-2001,66,57,9,45,9,0,0,0,0,41,24,1,62.87
LB Williams (Lions/Wales),2012-2020,66,59,7,70,14,0,0,0,0,37,27,2,57.57
I Zedginidze (Georg),1998-2011,66,64,2,65,13,0,0,0,0,38,24,4,60.6
D Cuesta Silva (Arg/SthAm),1983-1995,65,65,0,125,28,0,0,0,0,31,32,2,49.23
TI Dimofte (Rom),2004-2013,65,55,10,95,13,3,8,0,0,38,24,3,60.76
CI Fernandez Lobbe (Arg),1996-2008,65,60,5,30,6,0,0,0,0,33,32,0,50.76
OJ Hasan Jalil (Arg),1995-2007,65,48,17,20,4,0,0,0,0,34,30,1,53.07
AF Jacobsen (Scot),2002-2012,65,51,14,0,0,0,0,0,0,24,40,1,37.69
JO Launchbury (Eng),2012-2020,65,48,17,25,5,0,0,0,0,46,18,1,71.53
V Lucaci (Rom),2009-2019,65,57,8,50,10,0,0,0,0,46,18,1,71.53
Y Maestri (Fra),2012-2018,65,61,4,5,1,0,0,0,0,25,38,2,40
E Matveev (Russ),2007-2020,65,26,39,65,13,0,0,0,0,26,38,1,40.76
P Pape (Fra),2004-2015,65,57,8,25,5,0,0,0,0,38,25,2,60
JF Slattery (Ire/Lions),1970-1984,65,65,0,12,3,0,0,0,0,27,30,8,47.69
MWIWNA Vunipola (Eng/Lions),2012-2020,65,33,32,5,1,0,0,0,0,47,17,1,73.07
PJ Winterbottom (Eng/Lions),1982-1993,65,65,0,13,3,0,0,0,0,32,31,2,50.76
KDR Brown (Scot),2005-2014,64,46,18,20,4,0,0,0,0,25,38,1,39.84
S Dellape (Italy),2002-2011,64,53,11,15,3,0,0,0,0,18,45,1,28.9
F Galthie (Fra),1991-2003,64,58,6,49,10,0,0,0,0,38,25,1,60.15
A Giorgadze (Georg),1996-2011,64,54,10,60,12,0,0,0,0,38,24,2,60.93
IM Gough (Wales),1998-2010,64,52,12,5,1,0,0,0,0,30,30,4,50
BJ Kay (Eng/Lions),2001-2009,64,49,15,10,2,0,0,0,0,44,19,1,69.53
A Malo Navio (Spain),1985-1999,64,63,1,9,2,0,0,0,0,23,40,1,36.71
PGFG Mesquita de Foro (Port),2007-2017,64,54,10,110,22,0,0,0,0,22,40,2,35.93
K Mikautadze (Georg),2010-2020,64,53,11,10,2,0,0,0,0,35,28,1,55.46
BJ Paulse (SA),1999-2007,64,58,6,130,26,0,0,0,0,36,27,1,57.03
TTR Perenara (NZ),2014-2019,64,16,48,65,13,0,0,0,0,54,8,2,85.93
A Qera (Fiji),2005-2018,64,55,9,45,9,0,0,0,0,32,30,2,51.56
G Shvelidze (Georg),1998-2011,64,51,13,35,7,0,0,0,0,37,24,3,60.15
DS Stewart (Can),1989-2001,64,62,2,84,5,9,14,0,0,29,34,1,46.09
P Vaccari (Italy),1991-2003,64,63,1,107,22,0,0,0,0,27,36,1,42.96
H Agulla (Arg),2005-2015,63,52,11,30,6,0,0,0,0,25,37,1,40.47
SB Betsen Tchoua (Fra),1997-2007,63,50,13,45,9,0,0,0,0,43,19,1,69.04
NL Blevins (Can),2009-2019,63,47,16,60,12,0,0,0,0,22,40,1,35.71
MJ Cockbain (Aust),1997-2003,63,34,29,5,1,0,0,0,0,46,16,1,73.8
M Crauste (Fra),1957-1966,63,63,0,30,10,0,0,0,0,38,16,9,67.46
B Dauga (Fra),1964-1972,63,63,0,34,11,0,0,0,0,30,26,7,53.17
GO Edwards (Lions/Wales),1967-1978,63,63,0,91,20,2,1,4,0,40,15,8,69.84
NC Farr-Jones (Aust),1984-1993,63,62,1,37,9,0,0,0,0,42,20,1,67.46
JL Hamilton (Scot),2006-2015,63,51,12,5,1,0,0,0,0,18,44,1,29.36
DA Hickie (Ire/Lions),1997-2007,63,63,0,145,29,0,0,0,0,40,22,1,64.28
T Ito (JPN),1996-2005,63,40,23,30,6,0,0,0,0,26,36,1,42.06
JJP Kirwan (NZ),1984-1994,63,62,1,143,35,0,0,0,0,48,12,3,78.57
MA Lazar (Rom),2008-2019,63,49,14,15,3,0,0,0,0,37,24,2,60.31
JT Lomu (NZ),1994-2002,63,54,9,185,37,0,0,0,0,44,17,2,71.42
M Medard (Fra),2008-2019,63,52,11,73,14,0,0,1,0,35,27,1,56.34
M Portela de Morais (Port),1996-2010,63,58,5,33,6,0,1,0,0,27,32,4,46.03
M Rees (Lions/Wales),2005-2014,63,50,13,10,2,0,0,0,0,24,38,1,38.88
DJ Rossouw (SA),2003-2011,63,42,21,50,10,0,0,0,0,40,22,1,64.28
ST Sio (Aust),2013-2019,63,51,12,5,1,0,0,0,0,32,29,2,52.38
S Sititi (PI/Samoa),1999-2009,63,51,12,85,17,0,0,0,0,33,30,0,52.38
Y Tamura (JPN),2012-2019,63,49,14,273,5,55,46,0,0,41,21,1,65.87
DJ Vickerman (Aust),2002-2011,63,41,22,0,0,0,0,0,0,38,24,1,61.11
JPR Williams (Lions/Wales),1969-1981,63,63,0,39,6,2,3,1,0,42,15,6,71.42
KGM Wood (Ire/Lions),1994-2003,63,60,3,75,15,0,0,0,0,26,36,1,42.06
T Benvenuti (Italy),2010-2019,62,48,14,35,7,0,0,0,0,18,44,0,29.03
RM Brooke (NZ),1992-1999,62,61,1,20,4,0,0,0,0,47,13,2,77.41
S Chabal (Fra),2000-2011,62,33,29,30,6,0,0,0,0,35,26,1,57.25
AG Foley (Ire),1995-2005,62,59,3,25,5,0,0,0,0,37,24,1,60.48
L Gross (USA),1996-2003,62,61,1,0,0,0,0,0,0,21,41,0,33.87
JE Horwill (Aust),2007-2016,62,53,9,30,6,0,0,0,0,35,26,1,57.25
DC Howlett (NZ),2000-2007,62,55,7,245,49,0,0,0,0,51,10,1,83.06
YE Huget (Fra),2010-2019,62,54,8,70,14,0,0,0,0,29,32,1,47.58
GDC Ma'afu (Fiji),2010-2019,62,52,10,10,2,0,0,0,0,31,29,2,51.61
L Nakarawa (Fiji),2009-2019,62,57,5,65,13,0,0,0,0,33,28,1,54.03
M Paraschivescu (Rom),1975-1987,62,60,2,24,6,0,0,0,0,40,20,2,66.12
J Pritchard (Can),2003-2015,62,58,4,607,18,104,103,0,0,26,34,2,43.54
GAR Snow (Can),1995-2007,62,59,3,40,8,0,0,0,0,27,33,2,45.16
R So'oialo (NZ),2002-2009,62,53,9,30,6,0,0,0,0,53,9,0,85.48
M Alemanno (Arg),2014-2019,61,34,27,20,4,0,0,0,0,17,44,0,27.86
S Baikeinuku (Fiji/PI),2000-2016,61,54,7,356,5,65,66,1,0,28,32,1,46.72
CM Chalmers (Lions/Scot),1989-1999,61,58,3,172,5,11,33,10,0,28,31,2,47.54
J Condom (Fra),1982-1990,61,60,1,0,0,0,0,0,0,38,19,4,65.57
R Howley (Lions/Wales),1996-2002,61,60,1,50,10,0,0,0,0,29,31,1,48.36
B Khamashuridze (Georg),1998-2011,61,51,10,75,15,0,0,0,0,34,25,2,57.37
RTRN Kuridrani (Aust),2013-2019,61,51,10,110,22,0,0,0,0,32,27,2,54.09
WJ le Roux (SA),2013-2019,61,56,5,60,12,0,0,0,0,40,20,1,66.39
M Nariashvili (Georg),2012-2020,61,53,8,5,1,0,0,0,0,38,23,0,62.29
SK O'Brien (Ire/Lions),2009-2019,61,53,8,35,7,0,0,0,0,32,26,3,54.91
MA Ross (Ire),2009-2016,61,59,2,0,0,0,0,0,0,37,22,2,62.29
O Roumat (Fra),1989-1996,61,58,3,23,5,0,0,0,0,35,25,1,58.19
B Samkharadze (Georg),2004-2012,61,23,38,30,6,0,0,0,0,37,22,2,62.29
R Silva Pisano (Urug),2012-2019,61,55,6,84,13,5,3,0,0,34,27,0,55.73
S Socol (Rom),2001-2011,61,56,5,40,8,0,0,0,0,36,23,2,60.65
TM Vaega (Samoa),1986-2001,61,56,5,79,14,4,3,0,0,35,25,1,58.19
DTH van der Merwe (Can),2006-2019,61,57,4,190,38,0,0,0,0,19,39,3,33.6
GW Weir (Scot),1990-2000,61,53,8,19,4,0,0,0,0,24,35,2,40.98
D Yachvili (Fra),2002-2012,61,35,26,373,2,51,85,2,0,37,23,1,61.47
F Corodeanu (Rom),1997-2009,60,56,4,55,11,0,0,0,0,31,29,0,51.66
MRD d'Orey Branco (Port),1996-2007,60,56,4,25,5,0,0,0,0,31,25,4,55
CW Dowd (NZ),1993-2000,60,50,10,10,2,0,0,0,0,47,13,0,78.33
MA Durand (Arg),1997-2008,60,39,21,45,9,0,0,0,0,38,22,0,63.33
TGAL Flood (Eng),2006-2013,60,36,24,301,4,40,66,1,0,30,28,2,51.66
S Ghizzoni (Italy),1977-1987,60,59,1,77,17,0,0,3,0,27,30,3,47.5
M Giovanelli (Italy),1989-2000,60,56,4,19,4,0,0,0,0,27,32,1,45.83
AR Irvine (Lions/Scot),1972-1982,60,60,0,297,11,26,67,0,0,22,34,4,40
CAI Johnston (PI/Samoa),2005-2017,60,44,16,20,4,0,0,0,0,25,34,1,42.5
RST Kefu (Aust),1997-2003,60,52,8,50,10,0,0,0,0,40,19,1,67.5
BW Redpath (Scot),1993-2003,60,52,8,5,1,0,0,0,0,28,31,1,47.5
IR Tofan (Rom),1997-2007,60,40,20,316,12,53,46,4,0,31,29,0,51.66
JW Wilson (NZ),1993-2001,60,60,0,234,44,1,3,1,0,45,14,1,75.83
P Benetton (Fra),1989-1999,59,47,12,34,7,0,0,0,0,39,19,1,66.94
FE Bunce (NZ/Samoa),1991-1997,59,59,0,100,21,0,0,0,0,44,13,2,76.27
V Goneva (Fiji),2007-2019,59,49,10,110,22,0,0,0,0,28,29,2,49.15
C Heymans (Fra),2000-2011,59,46,13,80,16,0,0,0,0,37,20,2,64.4
PS Johns (Ire),1990-2000,59,57,2,20,4,0,0,0,0,22,36,1,38.13
TJ Kiernan (Ire/Lions),1960-1973,59,59,0,193,2,27,42,2,0,23,28,8,45.76
S Koto Vuli (Fiji/PI),2005-2017,59,47,12,10,2,0,0,0,0,30,28,1,51.69
JC McGrath (Ire/Lions),2013-2019,59,34,25,10,2,0,0,0,0,40,17,2,69.49
PPR Mack (Can),2009-2019,59,33,26,15,3,0,0,0,0,17,41,1,29.66
JS Montoya (Arg),2014-2019,59,9,50,45,9,0,0,0,0,18,41,0,30.5
AD Oliver (NZ),1997-2007,59,53,6,15,3,0,0,0,0,42,17,0,71.18
PA Orr (Ire/Lions),1976-1987,59,59,0,0,0,0,0,0,0,20,36,3,36.44
SP Poidevin (Aust),1980-1991,59,59,0,20,5,0,0,0,0,37,19,3,65.25
JP Rives (Fra),1975-1984,59,59,0,20,5,0,0,0,0,39,17,3,68.64
J Salazar Lizarraga (Spain),2000-2014,59,55,4,15,3,0,0,0,0,19,39,1,33.05
MA Scelzo (Arg),1996-2011,59,33,26,50,10,0,0,0,0,34,24,1,58.47
HFG Southwell (Scot),2004-2011,59,42,17,40,8,0,0,0,0,22,36,1,38.13
A Temnov (Russ),2005-2018,59,52,7,35,7,0,0,0,0,29,29,1,50
BC Thorn (NZ),2003-2011,59,51,8,20,4,0,0,0,0,51,8,0,86.44
F Velazco Querol (Spain),1995-2006,59,52,7,81,13,2,2,2,0,23,34,2,40.67
A Vilaseca Hontou (Urug),2013-2019,59,56,3,85,13,5,3,0,0,34,24,1,58.47
D Aguirre (Urug),1992-2007,58,58,0,115,7,10,20,0,0,23,35,0,39.65
J Bregvadze (Georg),2008-2019,58,38,20,20,4,0,0,0,0,32,24,2,56.89
MZV Brooke (NZ),1987-1997,58,54,4,89,17,0,0,3,0,45,11,2,79.31
HAW Buydens (Can),2006-2019,58,46,12,0,0,0,0,0,0,22,35,1,38.79
MD Chisholm (Aust),2004-2010,58,33,25,30,6,0,0,0,0,33,23,2,58.62
L Cittadini (Italy),2008-2017,58,30,28,15,3,0,0,0,0,14,44,0,24.13
CM Cullen (NZ),1996-2002,58,56,2,236,46,3,0,0,0,42,14,2,74.13
AG Dickinson (Scot),2007-2016,58,31,27,10,2,0,0,0,0,23,35,0,39.65
WA Dooley (Eng/Lions),1985-1993,58,57,1,12,3,0,0,0,0,35,21,2,62.06
IS Gibbs (Lions/Wales),1991-2001,58,58,0,55,11,0,0,0,0,27,29,2,48.27
GR Jenkins (Wales),1991-2000,58,52,6,10,2,0,0,0,0,34,24,0,58.62
RN Jones (Lions/Wales),1986-1995,58,57,1,19,4,0,0,0,0,24,34,0,41.37
OJ Lewsey (Eng/Lions),1998-2007,58,56,2,110,22,0,0,0,0,33,25,0,56.89
D Ohata (JPN),1996-2006,58,55,3,345,69,0,0,0,0,27,30,1,47.41
WL Palu (Aust),2006-2016,58,50,8,5,1,0,0,0,0,34,20,4,62.06
A Parker (USA),1996-2009,58,51,7,5,1,0,0,0,0,23,35,0,39.65
A Shakirov (Russ),2004-2014,58,37,21,25,5,0,0,0,0,24,33,1,42.24
FN Tetaz Chaparro (Arg),2010-2019,58,43,15,5,1,0,0,0,0,19,39,0,32.75
GW Whetton (NZ),1981-1991,58,58,0,4,1,0,0,0,0,50,6,2,87.93
MS Williams (Wales),2011-2019,58,36,22,60,12,0,0,0,0,34,24,0,58.62
S Williams (NZ),2010-2019,58,42,16,65,13,0,0,0,0,52,5,1,90.51
PE Albacete (Arg),2003-2013,57,56,1,5,1,0,0,0,0,24,32,1,42.98
T Allan (Italy),2013-2020,57,42,15,320,11,53,52,1,0,11,46,0,19.29
SW Borthwick (Eng),2001-2010,57,47,10,10,2,0,0,0,0,29,27,1,51.75
BC Cohen (Eng),2000-2006,57,54,3,155,31,0,0,0,0,40,17,0,70.17
E Fairhurst (Can),2001-2012,57,35,22,46,4,4,6,0,0,22,34,1,39.47
A Goromaru (JPN),2005-2015,57,52,5,711,18,162,99,0,0,40,17,0,70.17
JD Gray (Scot),2013-2020,57,51,6,20,4,0,0,0,0,25,31,1,44.73
WJH Greenwood (Eng/Lions),1997-2005,57,51,6,155,31,0,0,0,0,44,11,2,78.94
P Jimsheladze (Georg),1995-2007,57,55,2,320,9,61,48,3,0,35,20,2,63.15
DJ Jones (Wales),2001-2009,57,33,24,0,0,0,0,0,0,26,29,2,47.36
BT Kelleher (NZ),1999-2007,57,35,22,40,8,0,0,0,0,46,11,0,80.7
DP Leamy (Ire),2004-2011,57,41,16,10,2,0,0,0,0,36,20,1,64.03
G Leonte (Rom),1984-1995,57,57,0,19,4,0,0,0,0,26,31,0,45.61
T Mchedlidze (Georg),2013-2020,57,46,11,35,7,0,0,0,0,33,22,2,59.64
BJ Mullin (Ire/Lions),1984-1995,57,57,0,72,17,1,0,0,0,19,37,1,34.21
DW Mumm (Aust),2008-2016,57,25,32,25,5,0,0,0,0,33,24,0,57.89
J Ortega Desio (Arg),2012-2019,57,44,13,25,5,0,0,0,0,19,38,0,33.33
MZ Petri (USA),2007-2015,57,40,17,33,6,0,0,1,0,19,37,1,34.21
JMD Pinto Neves (Port),2001-2012,57,38,19,22,3,2,1,0,0,22,31,4,42.1
RP Ross (Can),1989-2003,57,40,17,419,7,51,84,10,0,29,28,0,50.87
CG Rowntree (Eng/Lions),1995-2006,57,48,9,0,0,0,0,0,0,38,18,1,67.54
R Slimani (Fra),2013-2019,57,35,22,20,4,0,0,0,0,25,31,1,44.73
A Widiker (Germ),2002-2016,57,56,1,35,7,0,0,0,0,28,27,2,50.87
R Barkwill (Can),2012-2018,56,44,12,25,5,0,0,0,0,19,36,1,34.82
P Berbizier (Fra),1981-1991,56,55,1,28,7,0,0,0,0,32,23,1,58.03
OM Brown (NZ),1992-1998,56,56,0,20,4,0,0,0,0,40,14,2,73.21
MJ Cueto (Eng/Lions),2004-2011,56,56,0,100,20,0,0,0,0,29,26,1,52.67
MB James (Can),1994-2007,56,56,0,20,4,0,0,0,0,26,29,1,47.32
LMN Jones (NZ/Samoa),1986-1998,56,54,2,56,13,0,0,0,0,43,11,2,78.57
AD Kellock (Scot),2004-2013,56,32,24,5,1,0,0,0,0,24,31,1,43.75
PJ Lambie (SA),2010-2016,56,22,34,153,2,25,27,4,0,33,23,0,58.92
TE Lavanini (Arg),2013-2019,56,49,7,15,3,0,0,0,0,17,39,0,30.35
LR MacDonald (NZ),2000-2008,56,34,22,141,14,25,7,0,0,48,8,0,85.71
JJ May (Eng),2013-2020,56,55,1,145,29,0,0,0,0,39,16,1,70.53
F Mesnel (Fra),1986-1995,56,54,2,41,8,0,0,3,0,38,17,1,68.75
AR Persico (Italy),2000-2006,56,45,11,10,2,0,0,0,0,15,41,0,26.78
JT Robinson (Eng/Lions),2001-2007,56,52,4,150,30,0,0,0,0,39,17,0,69.64
L Rodriguez (Fra),1981-1990,56,56,0,28,7,0,0,0,0,29,24,3,54.46
C Sempere Padilla (Spain),2004-2014,56,53,3,177,31,5,0,4,0,26,27,3,49.1
LE Stanfill (USA),2005-2015,56,45,11,15,3,0,0,0,0,16,39,1,29.46
G Tkhilaishvili (Georg),2012-2020,56,39,17,50,10,0,0,0,0,37,18,1,66.96
A Travkin (Russ),2001-2011,56,26,30,5,1,0,0,0,0,22,32,2,41.07
S Trishin (Russ),2005-2018,56,43,13,25,5,0,0,0,0,26,28,2,48.21
J Tuculet (Arg),2012-2019,56,51,5,90,18,0,0,0,0,19,37,0,33.92
MA Williams (Can),1999-2008,56,52,4,68,13,0,0,1,0,18,36,2,33.92
DL Albanese (Arg),1995-2003,55,53,2,50,10,0,0,0,0,24,30,1,44.54
S Bettarello (Italy),1979-1988,55,54,1,483,7,46,104,17,0,26,25,4,50.9
CA Botha (Namib),2008-2018,55,53,2,209,28,15,13,0,0,34,20,1,62.72
MR Duque (Braz),2008-2019,55,52,3,252,15,39,30,3,0,20,34,1,37.27
PS du Toit (SA),2013-2019,55,35,20,25,5,0,0,0,0,30,22,3,57.27
G Fickou (Fra),2013-2020,55,36,19,45,9,0,0,0,0,26,29,0,47.27
ODA Finegan (Aust),1996-2003,55,34,21,30,6,0,0,0,0,37,16,2,69.09
WI Henderson (Ire),2012-2020,55,31,24,25,5,0,0,0,0,38,16,1,70
N Hewson (HK),2009-2018,55,51,4,35,7,0,0,0,0,32,22,1,59.09
CE Meads (NZ),1957-1971,55,55,0,21,7,0,0,0,0,41,10,4,78.18
R Paparemborde (Fra),1975-1983,55,55,0,32,8,0,0,0,0,34,20,1,62.72
LS Quinnell (Lions/Wales),1993-2002,55,53,2,60,12,0,0,0,0,31,23,1,57.27
GL Rees (Can),1986-1999,55,54,1,491,7,51,110,9,0,31,24,0,56.36
R Roncero (Arg),1998-2012,55,50,5,30,6,0,0,0,0,26,28,1,48.18
TSF Seymour (Scot),2013-2019,55,55,0,100,20,0,0,0,0,27,28,0,49.09
H Tatekawa (JPN),2012-2018,55,50,5,64,8,9,2,0,0,36,18,1,66.36
K Tkachuk (Can),2000-2010,55,39,16,25,5,0,0,0,0,18,37,0,32.72
JM White (Eng/Lions),2000-2009,55,39,16,0,0,0,0,0,0,29,25,1,53.63
PV Balan (Rom),1998-2009,54,43,11,40,8,0,0,0,0,31,23,0,57.4
M Bastareaud (Fra),2009-2019,54,38,16,25,5,0,0,0,0,26,26,2,50
D Carpo (Rom),2007-2015,54,39,15,45,9,0,0,0,0,32,19,3,62.03
T Castaignede (Fra),1995-2007,54,49,5,252,18,42,21,5,0,37,16,1,69.44
L Chilachava (Georg),2012-2020,54,29,25,55,11,0,0,0,0,35,19,0,64.81
PMN Clohessy (Ire),1993-2002,54,49,5,20,4,0,0,0,0,24,29,1,45.37
M Cuttitta (Italy),1987-1999,54,54,0,110,25,0,0,0,0,25,28,1,47.22
J de la Fuente (Arg),2014-2019,54,38,16,35,7,0,0,0,0,17,37,0,31.48
CA del Fava (Italy),2004-2011,54,36,18,5,1,0,0,0,0,13,40,1,25
NJ Easter (Eng),2007-2015,54,47,7,45,9,0,0,0,0,30,23,1,56.48
JA Echeverria Rodriguez (Urug),2014-2019,54,27,27,25,5,0,0,0,0,32,22,0,59.25
C Festuccia (Italy),2003-2012,54,25,29,15,3,0,0,0,0,19,34,1,36.11
JD Graf (Can),1989-1999,54,51,3,89,9,7,9,1,0,29,25,0,53.7
N Grille (Urug),1996-2007,54,43,11,40,8,0,0,0,0,23,31,0,42.59
JA Kronfeld (NZ),1995-2000,54,50,4,70,14,0,0,0,0,42,11,1,78.7
O Latu Langilangi (PI/Tonga),2006-2017,54,52,2,28,5,0,1,0,0,20,33,1,37.96
D Lemi (Samoa),2004-2017,54,46,8,65,13,0,0,0,0,21,31,2,40.74
AH le Roux (SA),1994-2002,54,11,43,5,1,0,0,0,0,33,20,1,62.03
M Mascioletti (Italy),1977-1990,54,54,0,68,17,0,0,0,0,27,24,3,52.77
G Nica (Rom),1964-1978,54,54,0,30,2,4,4,1,0,35,16,3,67.59
D Ormaechea (Urug),1979-1999,54,51,3,151,33,0,0,0,0,29,25,0,53.7
E Pronenko (Russ),2009-2018,54,39,15,0,0,0,0,0,0,22,31,1,41.66
F Properzi-Curti (Italy),1990-2001,54,49,5,15,3,0,0,0,0,21,32,1,39.81
D Richards (Eng/Lions),1986-1996,54,52,2,24,6,0,0,0,0,38,15,1,71.29
SJ Savea (NZ),2012-2017,54,51,3,230,46,0,0,0,0,48,4,2,90.74
BH Scully (USA),2011-2019,54,50,4,75,15,0,0,0,0,23,30,1,43.51
J Thion (Fra),2003-2011,54,45,9,5,1,0,0,0,0,36,18,0,66.66
DJ Vermeulen (SA),2012-2019,54,54,0,15,3,0,0,0,0,38,15,1,71.29
CT Wyles (USA),2007-2015,54,51,3,222,16,23,31,1,0,18,35,1,34.25
D Young (Lions/Wales),1987-2001,54,50,4,4,1,0,0,0,0,28,25,1,52.77
AP Burnell (Lions/Scot),1989-1999,53,50,3,5,1,0,0,0,0,26,24,3,51.88
I Criado Garachana (Spain),2002-2010,53,38,15,40,8,0,0,0,0,19,32,2,37.73
